86.000,27.000,10.000,97.000,69.000,25.000,54.000,40.000,78.000,14.000,98.000,13.000,29.000,4.000,79.000,30.000,66.000,61.000,44.000,95.000,75.000,43.000,73.000,42.000,64.000,38.000,48.000,87.000,50.000,11.000,67.000,58.000,52.000,52.000,26.000,68.000,38.000,30.000,56.000,84.000,9.000,49.000,29.000,57.000,97.000,47.000,70.000,92.000,73.000,99.000,31.000,33.000,76.000,47.000,52.000,19.000,20.000,25.000,70.000,18.000
48.000,16.000,67.000,55.000,69.000,39.000,63.000,62.000,29.000,36.000,21.000,25.000,74.000,61.000,14.000,40.000,62.000,28.000,64.000,96.000,72.000,45.000,75.000,67.000,95.000,20.000,81.000,96.000,30.000,69.000,51.000,60.000,22.000,29.000,13.000,40.000,44.000,95.000,66.000,82.000,87.000,98.000,35.000,12.000,62.000,1.000,93.000,69.000,75.000,36.000,49.000,34.000,54.000,63.000,67.000,53.000,73.000,43.000,78.000,24.000
86.000,26.000,60.000,85.000,34.000,7.000,15.000,82.000,29.000,70.000,97.000,28.000,9.000,19.000,39.000,74.000,57.000,23.000,42.000,70.000,85.000,75.000,10.000,5.000,30.000,42.000,18.000,38.000,62.000,46.000,8.000,42.000,53.000,57.000,57.000,55.000,38.000,90.000,55.000,15.000,20.000,97.000,4.000,87.000,36.000,63.000,78.000,92.000,6.000,41.000,50.000,100.000,41.000,81.000,89.000,41.000,49.000,12.000,38.000,9.000
81.000,7.000,38.000,52.000,95.000,90.000,27.000,61.000,15.000,62.000,88.000,47.000,64.000,73.000,55.000,44.000,80.000,50.000,38.000,42.000,41.000,97.000,33.000,65.000,11.000,21.000,34.000,63.000,31.000,18.000,45.000,11.000,35.000,99.000,17.000,77.000,30.000,75.000,44.000,60.000,51.000,25.000,34.000,53.000,69.000,56.000,78.000,32.000,72.000,96.000,10.000,78.000,47.000,70.000,47.000,46.000,22.000,41.000,44.000,40.000
10.000,26.000,92.000,29.000,28.000,93.000,79.000,5.000,37.000,99.000,8.000,46.000,47.000,43.000,13.000,71.000,34.000,89.000,43.000,80.000,6.000,67.000,45.000,50.000,12.000,60.000,51.000,71.000,56.000,49.000,20.000,26.000,64.000,80.000,96.000,25.000,45.000,89.000,24.000,45.000,1.000,91.000,64.000,59.000,29.000,85.000,40.000,51.000,42.000,38.000,59.000,77.000,8.000,72.000,55.000,25.000,35.000,90.000,51.000,68.000
63.000,89.000,18.000,93.000,47.000,25.000,31.000,18.000,27.000,33.000,50.000,92.000,65.000,5.000,67.000,18.000,11.000,77.000,97.000,44.000,24.000,97.000,18.000,81.000,10.000,98.000,78.000,40.000,90.000,62.000,59.000,1.000,11.000,9.000,29.000,6.000,9.000,22.000,61.000,58.000,51.000,58.000,65.000,64.000,3.000,42.000,97.000,95.000,5.000,66.000,18.000,5.000,17.000,73.000,87.000,74.000,95.000,88.000,69.000,12.000
43.000,57.000,44.000,22.000,74.000,73.000,99.000,15.000,48.000,19.000,78.000,27.000,72.000,71.000,58.000,48.000,65.000,18.000,43.000,15.000,4.000,88.000,51.000,16.000,74.000,63.000,96.000,43.000,81.000,76.000,48.000,37.000,70.000,72.000,49.000,9.000,40.000,84.000,96.000,27.000,8.000,41.000,15.000,43.000,57.000,30.000,18.000,26.000,28.000,79.000,34.000,45.000,96.000,88.000,83.000,35.000,34.000,89.000,61.000,23.000
42.000,36.000,85.000,39.000,76.000,51.000,73.000,23.000,38.000,99.000,26.000,79.000,74.000,69.000,58.000,68.000,53.000,54.000,84.000,5.000,59.000,69.000,25.000,67.000,87.000,72.000,57.000,24.000,8.000,36.000,21.000,93.000,92.000,93.000,76.000,4.000,96.000,86.000,47.000,76.000,18.000,16.000,52.000,99.000,40.000,2.000,34.000,63.000,23.000,52.000,64.000,44.000,47.000,91.000,66.000,91.000,41.000,53.000,31.000,87.000
1.000,21.000,53.000,67.000,33.000,33.000,99.000,56.000,41.000,53.000,55.000,13.000,64.000,64.000,32.000,57.000,92.000,60.000,4.000,78.000,84.000,75.000,56.000,37.000,6.000,3.000,4.000,60.000,46.000,95.000,29.000,18.000,4.000,66.000,48.000,68.000,53.000,54.000,95.000,27.000,15.000,22.000,68.000,31.000,18.000,93.000,2.000,5.000,4.000,25.000,42.000,16.000,100.000,85.000,84.000,51.000,74.000,52.000,66.000,85.000
83.000,86.000,21.000,21.000,53.000,53.000,40.000,19.000,19.000,16.000,13.000,65.000,38.000,9.000,95.000,37.000,36.000,80.000,61.000,80.000,37.000,76.000,66.000,39.000,43.000,62.000,15.000,7.000,34.000,36.000,99.000,68.000,57.000,91.000,91.000,6.000,17.000,15.000,13.000,49.000,13.000,4.000,93.000,18.000,13.000,12.000,55.000,76.000,41.000,53.000,38.000,81.000,81.000,64.000,36.000,20.000,44.000,85.000,9.000,77.000
